state,murder,culpable_homicide,dowry_deaths,attempt_murder,kidnapping,rape,assault_women,total_human_body,riots,thefts,extortion,robbery,dacoity,prep_dacoity,criminal_breach,cheating,arson,burglary,total_property,counterfeiting,cruelty_husband,insult_modesty,total_women,convicts_women,other_ipc,total_convicts,year
Madhya Pradesh,6108,240,311,611,575,2383,168,10396,13,151,26,334,242,157,38,121,11,51,1131,41,82,0,82,2944,495,12158,2020
Maharashtra,3041,141,20,216,59,620,82,4179,0,277,25,105,107,64,13,109,0,116,816,10,28,21,49,771,119,5173,2020
Manipur,30,2,0,0,0,52,0,84,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,52,1,86,2020
Meghalaya,50,6,0,0,2,43,0,101,0,2,0,0,0,0,0,0,1,0,3,0,0,1,1,44,3,108,2020
Mizoram,55,9,0,3,9,43,1,120,0,85,1,27,0,0,22,0,0,32,167,11,6,0,6,50,14,318,2020
Nagaland,29,0,0,4,2,29,1,65,0,13,1,1,2,0,0,0,0,3,20,0,0,0,0,30,1,86,2020
Odisha,2066,44,38,70,44,522,10,2794,0,27,0,36,40,2,8,4,4,7,128,0,4,0,4,574,39,2965,2020
Punjab,614,32,18,199,88,233,6,1190,0,143,16,18,25,23,20,47,0,24,316,4,5,0,5,262,104,1619,2020
Rajasthan,2525,52,116,207,100,891,21,3912,13,179,1,102,94,37,6,41,2,36,498,15,50,3,53,1081,78,4569,2020
Sikkim,29,4,0,1,0,6,6,46,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,12,74,123,2020
Tamil Nadu,1909,169,50,414,173,213,3,2931,26,316,22,129,65,34,8,57,0,89,720,4,39,0,39,305,20,3740,2020
Telangana,1200,64,38,50,44,115,10,1521,0,124,5,35,23,4,1,1,0,11,204,0,22,0,22,185,31,1778,2020
Tripura,198,10,6,12,10,109,2,347,0,0,0,1,5,0,0,0,0,1,7,0,21,0,21,138,7,382,2020
Uttar Pradesh,16194,907,2545,956,656,2052,85,23395,5,532,8,271,267,56,6,46,13,116,1315,43,77,1,78,4760,314,25150,2020
Uttarakhand,974,68,70,58,63,278,23,1534,2,50,12,29,25,0,7,9,0,19,151,8,9,0,9,380,58,1762,2020
West Bengal,2989,102,128,177,116,483,6,4001,4,11,8,37,107,12,4,4,0,8,191,27,63,4,67,684,172,4462,2020
Andaman and Nicobar Islands,37,3,0,1,0,6,0,47,0,1,0,0,0,0,0,2,1,2,6,0,0,0,0,6,0,53,2020
Chandigarh,91,18,3,10,27,80,1,230,0,18,1,14,4,0,2,4,0,7,50,0,0,0,0,84,0,280,2020
Dadra and Nagar Haveli and Daman and Diu,8,0,0,2,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,2020
Delhi,515,6,27,100,54,312,11,1025,5,28,0,73,98,1,1,46,0,0,247,4,0,16,16,366,10,1307,2020
Jammu and Kashmir,67,4,0,4,1,40,0,116,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,40,4,121,2020
Ladakh,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,4,2020
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Puducherry,45,2,0,0,2,4,0,53,0,2,0,1,0,0,0,0,0,1,4,0,0,0,0,4,3,60,2020
Andhra Pradesh,1472,13,27,42,20,120,7,1701,0,117,0,40,28,0,5,14,0,4,208,2,72,0,72,226,18,2001,2021
Arunachal Pradesh,33,21,0,2,6,37,2,101,0,6,0,1,0,0,0,0,0,0,7,0,0,0,0,39,13,121,2021
Assam,1691,92,33,113,24,90,1,2044,0,73,4,5,0,0,13,10,9,19,133,6,6,0,6,130,33,2222,2021
Bihar,3689,182,434,783,239,518,15,5860,14,153,10,116,146,26,16,6,6,20,499,10,60,11,71,1038,15,6469,2021
Chhattisgarh,4635,202,66,346,195,1120,36,6600,1,10,0,93,90,0,10,18,23,27,271,4,31,0,31,1253,174,7081,2021
Goa,26,3,0,5,1,11,2,48,0,0,0,1,0,0,0,2,0,0,3,0,0,0,0,13,0,51,2021
Gujarat,2725,191,30,74,81,607,11,3719,1,16,0,59,79,16,3,3,0,15,191,4,19,0,19,667,197,4131,2021
Haryana,2355,168,250,330,305,669,38,4115,15,339,31,202,205,72,24,27,1,60,961,12,24,1,25,982,0,5128,2021
Himachal Pradesh,310,4,0,6,0,136,2,458,0,10,0,0,9,0,0,1,0,0,20,0,5,0,5,143,27,510,2021
Jharkhand,2827,75,326,205,128,635,11,4207,11,66,36,36,108,25,26,8,4,10,319,12,121,0,121,1093,40,4710,2021
Karnataka,2128,84,85,184,79,497,9,3066,12,42,6,54,58,14,3,10,1,46,234,2,30,0,30,621,168,3512,2021
Kerala,1256,30,6,88,18,225,10,1633,8,125,0,138,19,16,5,6,0,44,353,4,14,0,14,255,15,2027,2021
Madhya Pradesh,11203,444,225,1002,561,2790,116,16341,50,171,13,382,291,48,39,110,28,52,1134,20,109,1,110,3241,446,18101,2021
Maharashtra,2166,141,12,237,57,747,67,3427,0,424,20,114,106,36,5,49,6,82,842,9,18,11,29,855,96,4403,2021
Manipur,33,0,1,0,0,24,2,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,60,2021
Meghalaya,57,5,0,1,4,50,2,119,0,0,0,0,0,0,0,0,1,1,2,0,1,0,1,53,7,129,2021
Mizoram,59,5,0,9,1,39,0,113,0,125,0,4,0,0,3,7,0,0,139,0,0,0,0,39,27,279,2021
Nagaland,33,3,0,2,1,23,2,64,0,41,1,1,0,0,0,0,0,8,51,0,0,0,0,25,2,117,2021
Odisha,1416,56,50,111,41,505,7,2186,0,27,0,34,42,3,5,10,2,6,129,0,2,0,2,564,35,2352,2021
Punjab,1598,126,89,406,155,640,46,3060,3,356,76,85,117,49,31,80,1,35,830,29,20,8,28,803,170,4120,2021
Rajasthan,1975,63,38,464,123,871,11,3545,0,147,6,134,114,40,3,62,3,76,585,27,28,0,28,948,153,4338,2021
Sikkim,28,6,0,1,1,6,8,50,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,14,73,128,2021
Tamil Nadu,1890,259,96,386,184,247,9,3071,93,257,24,228,90,21,10,64,4,135,833,6,73,0,73,425,9,4085,2021
Telangana,1282,49,13,52,13,187,11,1607,0,199,14,109,36,6,0,3,0,9,376,22,13,0,13,224,38,2056,2021
Tripura,217,8,5,13,3,106,1,353,1,4,0,0,3,0,0,0,0,2,9,0,14,0,14,126,26,403,2021
Uttar Pradesh,16544,826,2496,837,625,2366,81,23775,11,445,12,304,268,60,4,43,5,82,1223,25,99,6,105,5048,373,25512,2021
Uttarakhand,1176,38,66,51,62,343,26,1762,8,68,0,26,12,7,3,7,2,32,157,4,2,0,2,437,63,1996,2021
West Bengal,1335,34,91,133,60,304,2,1959,0,2,0,29,53,13,5,7,0,0,109,103,75,0,75,472,38,2284,2021
Andaman and Nicobar Islands,41,1,0,0,0,3,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,45,2021
Chandigarh,30,9,3,9,17,36,0,104,0,11,0,5,0,0,1,5,0,0,22,0,0,0,0,39,0,126,2021
Dadra and Nagar Haveli and Daman and Diu,1,0,0,0,0,0,1,2,0,0,0,5,0,0,0,0,0,0,5,0,1,0,1,2,0,8,2021
Delhi,547,18,15,114,31,358,4,1087,3,24,4,65,96,0,8,41,0,0,238,1,0,40,40,417,15,1384,2021
Jammu and Kashmir,87,3,1,6,0,48,0,145,0,4,0,0,0,0,1,0,0,0,5,0,1,0,1,50,4,155,2021
Ladakh,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,2021
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
Puducherry,47,2,0,0,1,2,0,52,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,2,6,66,2021
Andhra Pradesh,938,27,33,358,31,103,4,1494,0,109,1,49,37,18,0,9,0,10,233,1,46,0,46,186,51,1825,2022
Arunachal Pradesh,39,15,0,1,4,56,0,115,0,8,0,2,0,0,0,0,0,0,10,0,0,0,0,56,11,136,2022
Assam,1735,99,20,92,50,249,5,2250,0,29,3,13,6,0,2,1,2,6,62,0,12,0,12,286,81,2405,2022
Bihar,3034,154,389,805,289,673,51,5395,4,109,1,90,107,41,2,1,1,29,381,4,63,15,78,1191,46,5908,2022
Chhattisgarh,4724,118,40,118,230,1216,53,6499,9,26,7,39,59,10,3,3,6,30,183,19,2,0,2,1311,127,6839,2022
Goa,43,4,0,6,2,16,2,73,0,2,0,4,0,0,0,3,0,0,9,0,0,0,0,18,0,82,2022
Gujarat,2890,194,11,121,42,891,12,4161,0,5,0,14,58,9,2,0,0,8,96,4,25,0,25,939,296,4582,2022
Haryana,2257,91,215,263,261,864,34,3985,14,349,18,229,127,41,7,63,4,41,879,8,16,1,17,1130,230,5133,2022
Himachal Pradesh,301,10,2,8,1,168,1,491,0,13,0,4,3,0,0,1,0,2,23,0,8,0,8,179,38,560,2022
Jharkhand,2819,42,282,237,110,609,23,4122,5,53,17,23,65,9,9,20,2,1,199,4,49,2,51,965,49,4430,2022
Karnataka,1831,78,14,76,76,619,10,2704,2,55,20,44,69,6,8,7,1,67,277,14,31,0,31,674,174,3202,2022
Kerala,1535,41,3,121,18,433,28,2179,0,98,3,70,49,4,4,17,1,24,270,9,8,3,11,475,86,2555,2022
Madhya Pradesh,10562,397,366,1443,680,3880,139,17467,137,282,51,453,378,123,78,144,33,218,1760,44,119,4,123,4508,772,20303,2022
Maharashtra,4533,212,33,435,71,663,101,6048,0,470,16,289,157,63,8,73,7,65,1148,15,24,17,41,838,405,7657,2022
Manipur,39,0,0,0,0,14,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,55,2022
Meghalaya,61,9,0,5,5,75,3,158,0,2,0,1,0,0,0,0,1,1,5,0,0,0,0,78,13,176,2022
Mizoram,47,7,0,1,1,45,1,102,0,111,2,2,0,0,0,5,0,35,155,0,0,0,0,46,43,300,2022
Nagaland,12,3,0,26,1,43,2,87,0,27,8,1,1,0,0,0,0,1,38,0,0,0,0,45,11,136,2022
Odisha,1615,51,34,84,33,626,7,2450,4,27,1,34,23,6,3,2,3,11,110,3,24,1,25,692,54,2646,2022
Punjab,1461,281,75,481,204,699,42,3243,13,279,43,85,86,43,32,38,1,84,691,19,30,0,30,846,157,4153,2022
