Year,State_UT,Row_Type,Total_Convicts,Murder,Rape,Thefts,Kidnapping_Abduction,Robbery,Burglary,Dacoity,Cruelty_Husband,Attempt_Murder,Total_Women_Convicts,Arson,Riots
2021,PUNJAB,State,4120,1598,640,356,155,85,35,117,20,406,803,1,3
2021,RAJASTHAN,State,4338,1975,871,147,123,134,76,114,28,464,948,3,0
2021,SIKKIM,State,128,28,6,5,1,0,0,0,0,1,14,0,0
2021,TAMIL NADU,State,4085,1890,247,257,184,228,135,90,73,386,425,4,93
2021,TELANGANA,State,2056,1282,187,199,13,109,9,36,13,52,224,0,0
2021,TRIPURA,State,403,217,106,4,3,0,2,3,14,13,126,0,1
2021,UTTAR PRADESH,State,25512,16544,2366,445,625,304,82,268,99,837,5048,5,11
2021,UTTARAKHAND,State,1996,1176,343,68,62,26,32,12,2,51,437,2,8
2021,WEST BENGAL,State,2284,1335,304,2,60,29,0,53,75,133,472,0,0
2022,ANDHRA PRADESH,State,1825,938,103,109,31,49,10,37,46,358,186,0,0
2022,ARUNACHAL PRADESH,State,136,39,56,8,4,2,0,0,0,1,56,0,0
2022,ASSAM,State,2405,1735,249,29,50,13,6,6,12,92,286,2,0
2022,BIHAR,State,5908,3034,673,109,289,90,29,107,63,805,1191,1,4
2022,CHHATTISGARH,State,6839,4724,1216,26,230,39,30,59,2,118,1311,6,9
2022,GOA,State,82,43,16,2,2,4,0,0,0,6,18,0,0
2022,GUJARAT,State,4582,2890,891,5,42,14,8,58,25,121,939,0,0
2022,HARYANA,State,5133,2257,864,349,261,229,41,127,16,263,1130,4,14
2022,HIMACHAL PRADESH,State,560,301,168,13,1,4,2,3,8,8,179,0,0
2022,JHARKHAND,State,4430,2819,609,53,110,23,1,65,49,237,965,2,5
2022,KARNATAKA,State,3202,1831,619,55,76,44,67,69,31,76,674,1,2
2022,KERALA,State,2555,1535,433,98,18,70,24,49,8,121,475,1,0
2022,MADHYA PRADESH,State,20303,10562,3880,282,680,453,218,378,119,1443,4508,33,137
2022,MAHARASHTRA,State,7657,4533,663,470,71,289,65,157,24,435,838,7,0
2022,MANIPUR,State,55,39,14,0,0,0,0,0,0,0,15,0,0
2022,MEGHALAYA,State,176,61,75,2,5,1,1,0,0,5,78,1,0
2022,MIZORAM,State,300,47,45,111,1,2,35,0,0,1,46,0,0
2022,NAGALAND,State,136,12,43,27,1,1,1,1,0,26,45,0,0
2022,ODISHA,State,2646,1615,626,27,33,34,11,23,24,84,692,3,4
2022,PUNJAB,State,4153,1461,699,279,204,85,84,86,30,481,846,1,13
2022,RAJASTHAN,State,4653,2047,891,200,131,196,37,124,37,454,997,3,0
2022,SIKKIM,State,117,31,6,5,1,0,0,0,0,0,8,0,0
2022,TAMIL NADU,State,4158,1889,234,356,200,258,141,109,60,380,369,28,74
2022,TELANGANA,State,1960,1157,197,136,68,47,68,21,40,49,292,0,0
2022,TRIPURA,State,421,221,131,1,3,1,1,1,8,14,151,0,2
2022,UTTAR PRADESH,State,25229,13779,3313,713,713,526,101,296,207,1292,5753,21,13
2022,UTTARAKHAND,State,1862,900,397,106,42,26,13,27,6,41,491,2,8
2022,WEST BENGAL,State,3783,2464,503,6,129,54,0,77,58,154,646,0,13
2023,ANDHRA PRADESH,State,2052,1406,133,90,51,24,6,25,48,34,225,2,0
2023,ARUNACHAL PRADESH,State,160,50,71,4,5,0,1,0,0,0,82,0,0
2023,ASSAM,State,2886,1811,471,72,56,17,5,3,7,82,514,8,0
2023,BIHAR,State,5149,2755,615,87,230,68,12,89,25,568,1060,4,6
2023,CHHATTISGARH,State,5818,3809,1110,17,211,94,14,35,2,150,1242,3,0
2023,GOA,State,76,40,10,8,3,4,0,0,0,3,16,0,0
2023,GUJARAT,State,4551,2782,918,13,67,16,12,57,24,143,969,0,0
2023,HARYANA,State,5503,1887,970,302,264,364,28,278,29,345,1229,12,8
2023,HIMACHAL PRADESH,State,598,282,211,8,7,0,11,1,9,9,227,0,1
2023,JHARKHAND,State,4829,2878,687,110,180,20,12,48,61,338,1042,0,1
2023,KARNATAKA,State,2963,1666,343,85,85,48,37,79,76,119,482,1,48
2023,KERALA,State,2918,1523,686,176,18,66,10,21,2,156,728,0,0
2023,MADHYA PRADESH,State,20300,11588,4185,219,523,354,103,259,107,1023,4843,23,23
2023,MAHARASHTRA,State,7481,4210,789,387,217,270,33,289,45,361,1055,23,24
2023,MANIPUR,State,55,39,14,0,1,0,0,0,0,0,14,0,0
2023,MEGHALAYA,State,206,72,69,6,6,1,0,0,1,4,75,2,0
2023,MIZORAM,State,335,71,60,150,0,7,11,1,0,5,61,1,0
2023,NAGALAND,State,137,25,46,48,0,0,4,0,0,2,49,0,0
2023,ODISHA,State,3138,1870,841,37,25,29,12,27,21,99,904,3,4
2023,PUNJAB,State,4271,1539,680,340,192,91,128,86,29,359,857,0,1
2023,RAJASTHAN,State,4634,1895,1035,199,133,229,23,106,16,485,1104,3,0
2023,SIKKIM,State,145,30,6,7,0,0,0,0,0,0,7,0,0
2023,TAMIL NADU,State,4853,1851,251,617,284,325,237,106,82,428,422,21,133
2023,TELANGANA,State,1884,1055,192,165,68,43,68,33,39,50,281,0,0
2023,TRIPURA,State,403,213,118,2,4,0,1,4,6,26,127,0,0
2023,UTTAR PRADESH,State,23488,11737,3282,859,769,305,190,295,99,1482,5563,9,44
2023,UTTARAKHAND,State,1988,928,321,264,36,29,14,17,28,56,504,1,0
2023,WEST BENGAL,State,3745,2675,490,7,82,3,0,88,17,117,593,13,0
